,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
Inchgower 26 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/inchgower/inchgower-26-year-old-batch-1-that-boutiquey-whisky-company-whisky/,," Yellow plum and apricot, with a dusting of thyme, bringing an earthy edge to the nose."," Buttery at first, but the fresh fruit notes from the nose develop once again."," Layers of honey and malt, followed by a kick of cumin powder.",Scotch Whisky,Speyside Whisky,Inchgower,That Boutique-y Whisky Company,26 year old Whisky,,Single Malt Whisky,,48.7%,50cl
Croftengea 11 Year Old 2007 - Single Cask (Master of Malt),https://www.masterofmalt.com/whiskies/loch-lomond/croftengea-11-year-old-2007-single-cask-master-of-malt-whisky/,," Grassy peat and fresh malt give it a bright, almost spring-like feel, with fresh exotic fruit adding sweetness."," Roasted nuts and toasted oak, alongside aromatic tea and sweet fruit cake."," Toffee with earthy, somewhat pine-like freshness.",Scotch Whisky,Highland Whisky,Loch Lomond,Master of Malt,11 year old Whisky,02 Apr 2007,Single Malt Whisky,16 Aug 2018,57.7%,70cl
Inchmurrin 12 Year Old,https://www.masterofmalt.com/whiskies/loch-lomond/inchmurrin-12-year-old-island-collection-whisky/,, Creamy sweet cereals and allspice. Hints of toffee apples and pear drops. A little caramel and furniture polish.," Smooth, rich palate entry with barley malt and salt caramel. Dried herbs, candied peels and allspice.", Medium-long finish. Spicy.,Scotch Whisky,Highland Whisky,Loch Lomond,Loch Lomond,12 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Talisker Skye,https://www.masterofmalt.com/whiskies/talisker/talisker-skye-whisky/,," Sweet stuff, toffees and vanilla ice cream up front, almost grain-like. Becomes increasingly honeyed. There's a little coastal influence here too, just hints of a sweet Caol Ila perhaps, with very restrained smoke."," Honeyed toasted oak, sappy wood, only a little pepper and smoke, apple turnovers and hints of lemon and lime Opal Fruits. Fennel seeds."," Drying and slightly less sweet, hints of spice and smoke.",Scotch Whisky,Island Whisky,Talisker,Talisker,,,Single Malt Whisky,,45.8%,70cl
Glenallachie 25 Year Old 1992 (cask 12397) - Old Particular (Douglas Laing),https://www.masterofmalt.com/whiskies/glenallachie/glenallachie-25-year-old-1992-cask-12397-old-particular-douglas-laing-whisky/,," White chocolate, shortbread and a touch of spicy oak."," Sticky toffee pudding, lemon peel and floral malt."," Sultanas and dried ginger, with a hint of butterscotch continuing on.",Scotch Whisky,Speyside Whisky,Glenallachie,Douglas Laing,25 year old Whisky,February 1992,Single Malt Whisky,February 2018,50.6%,70cl
Tomintoul 38 Year Old 1977 (cask 3700) - Vintage Single Cask,https://www.masterofmalt.com/whiskies/tomintoul/tomintoul-38-year-old-1977-cask-3700-vintage-single-cask-whisky/,," Fruity malt loaf with cocoa, oak and nutmeg complexity."," Toasted barley, orange rind and peppered fruit.", Warming with rounded oak spice.,Scotch Whisky,Speyside Whisky,Tomintoul,Tomintoul,38 year old Whisky,12 Apr 1977,Single Malt Whisky,01 Jun 2015,54.9%,70cl
Deanston Virgin Oak,https://www.masterofmalt.com/whiskies/deanston/deanston-virgin-oak-whisky/,," Fresh citrus, honeyed barley and a subtle hint of smoke. "," Toffee sweets pop up first, followed by a dollop of cream and oak notes.", Oak spices on the finish. ,Scotch Whisky,Highland Whisky,Deanston,Deanston,,,Single Malt Whisky,,46.3%,70cl
Salty Sea Dog (The Whisky Lounge),https://www.masterofmalt.com/whiskies/the-whisky-lounge/salty-sea-dog-the-whisky-lounge-whisky/,," Sea salt, toasted almonds, dry pastry and apricot jam."," Salted caramel brownie, crunchy brown sugar, peat smoke and seaweed.", Quite long and coastal.,Scotch Whisky,Scotch Whisky,The Whisky Lounge,The Whisky Lounge,,,Single Malt Whisky,,43.0%,70cl
Glen Moray 25 Year Old 1988 Port Cask Finish,https://www.masterofmalt.com/whiskies/glen-moray/glen-moray-25-year-old-1988-whisky/,," Sugar coated nuts, fresh barley and a hint of old oak furniture. "," Vanilla pod, candied orange, oak and a good whack of nutmeg.", Wine-like sweetness grows and grows on the finish. ,Scotch Whisky,Speyside Whisky,Glen Moray,Glen Moray,25 year old Whisky,1988,Single Malt Whisky,,43.0%,70cl
Longmorn 28 Year Old 1984 (cask 3213) - Rare Select (Montgomerie's) ,https://www.masterofmalt.com/whiskies/longmorn/longmorn-28-year-old-1984-cask-3212-rare-select-montgomeries-whisky/,," Oatcakes, Rice Krispies in milk with a good spoonful of sugar on top. Subtly fragrant with lemon leaf and fresh honeydew melon."," Basil, cedar and peppery pine. Juicy sultana and blueberry. A generous scoop of rum-raisin ice-cream, too."," A long finish, packed with notes of milk chocolate and poppy seed muffin.",Scotch Whisky,Speyside Whisky,Longmorn,Montgomerie's,28 year old Whisky,22 Nov 1984,Single Malt Whisky,01 Mar 2013,46.0%,70cl
Tomintoul 12 Year Old Oloroso Sherry Cask,https://www.masterofmalt.com/whiskies/tomintoul-12-year-old-oloroso-sherry-cask-whisky/,"The nose is quite light and well-balanced. There are notes of chewy oak with a toasty feel, notes of sherried peels and sultanas, cut hay and malt extract and a touch of barley sugar. The palate is of medium-body. There are notes of winter berries and blackcurrant preserve, notes of gentle, thin smoke with notes of malt extract and crisp barley sugar with toasty cereals and a soft honey. The finish is of medium-length and well-balanced with a refined subtlety.",,,,Scotch Whisky,Speyside Whisky,Tomintoul,Tomintoul,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Old Pulteney Huddart,https://www.masterofmalt.com/whiskies/pulteney/old-pulteney-huddart-whisky/,," Caramel apple, a whiff of bonfire smoke followed by creamy vanilla."," Burnt sugar and fried banana, alongside a touch of brine.", Lingering thyme honey and earthy malt.,Scotch Whisky,Highland Whisky,Pulteney,Pulteney,,,Single Malt Whisky,,46.0%,70cl
Auchentoshan 21 Year Old 1997 (cask 12805) - Old Particular (Douglas Laing),https://www.masterofmalt.com/whiskies/auchentoshan/auchentoshan-21-year-old-1997-cask-12805-old-particular-douglas-laing-whisky/,, Butterscotch sweetness broken up by citrus sharpness and fresh white stone fruit.," Both herbaceous and creamy, with vanilla pod, indulgent melted chocolate and a pinch of cinnamon.", More kitchen spices bring a warming finish.,Scotch Whisky,Lowland Whisky,Auchentoshan,Douglas Laing,21 year old Whisky,May 1997,Single Malt Whisky,September 2018,51.5%,70cl
Tullibardine 228 Burgundy Cask Finish,https://www.masterofmalt.com/whiskies/tullibardine/tullibardine-228-burgundy-cask-finish-whisky/,," Spiced, with notes of red berry fruit, vanilla and toasted oak."," Creamy, nutty palate entry with notes of sweet custard, apple peel, red berries and orange blossom honey.", Long finish with plum jam and allspice.,Scotch Whisky,Highland Whisky,Tullibardine,Tullibardine,,,Single Malt Whisky,,43.0%,70cl
Tamdhu 20 Year Old 1998 (cask 15369) - First Editions (Hunter Laing),https://www.masterofmalt.com/whiskies/tamdhu/tamdhu-20-year-old-1998-cask-15369-first-editions-hunter-laing-whisky/,," Honeyed fruit and cooking spices, with a touch of beeswax underneath."," Very clean with mint and lemon, before caramelised dates and almonds develop.", Poached pear and Victoria sponge cake.,Scotch Whisky,Speyside Whisky,Tamdhu,Hunter Laing,20 year old Whisky,1998,Single Malt Whisky,2018,55.8%,70cl
Bruichladdich 1984/32 - All In,https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-1984-32-all-in-whisky/,, Jam-packed with tropical fruit - think papaya and watermelon with a light sprinkle of salt and paprika., It doesn't take long for butterscotch and cedar to catch up to the exciting fruit notes.," Slightly nutty and oily, though the previous elements of zesty papaya and rich vanilla continue on at the core.",Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,32 year old Whisky,1984,Single Malt Whisky,,43.7%,70cl
Glencadam 18 Year Old Bourbon Cask #3077,https://www.masterofmalt.com/whiskies/glencadam/glencadam-18-year-old-bourbon-cask-3077-whisky/,," A rather gentle nose, with toffee sweetness, wood spice and very subtle savoury hints of roast beef."," Wonderfully balanced sweet and creamy notes of toffee, vanilla and butterscotch, with a touch of orange peel."," Spices return, mingling with the sweetness on a lazy finish.",Scotch Whisky,Highland Whisky,Glencadam,Glencadam,18 year old Whisky,10 Dec 1999,Single Malt Whisky,01 Sep 2018,57.7%,70cl
Teaninich 19 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/teaninich/teaninich-that-boutiquey-whisky-company-whisky/,," Hazelnut spread on rye bread, buttery croissants and fizzy oak spices."," Floral at first - almost vegetal at points. Soon enough, the sweet baking notes from the nose return in full force."," Honey, pear and hints of fresh barley.",Scotch Whisky,Highland Whisky,Teaninich,That Boutique-y Whisky Company,19 year old Whisky,,Single Malt Whisky,,48.6%,50cl
anCnoc Peatheart,https://www.masterofmalt.com/whiskies/knockdhu/ancnoc-peatheart-whisky/,," Shortbread, oakcakes, pipe tobacco leading towards earthy peat smoke. Lighter notes of citrus peels and vanilla ice cream."," Chocolate malt, a touch of BBQ meat, cinder toffee and cardamom seed."," Surprisingly refreshing on the finish - smoke still persists, but notes of green apple and orange blossom develop alongside it.",Scotch Whisky,Highland Whisky,Knockdhu,Knockdhu,,,Single Malt Whisky,,46.0%,70cl
Auchroisk 7 Year Old 2011 - Strictly Limited (Càrn Mòr),https://www.masterofmalt.com/whiskies/auchroisk/auchroisk-7-year-old-2011-strictly-limited-carn-mor-whisky/,," Rich malt, buttery notes and an underlying sweetness."," Rounded and complex, more of that malt alongside jammy fruit and spicy hints.", Peppery and oh so malty. A very malty dram.,Scotch Whisky,Speyside Whisky,Auchroisk,Carn Mor,7 year old Whisky,2011,Single Malt Whisky,2019,46.0%,70cl
Isle of Jura One and All,https://www.masterofmalt.com/whiskies/isle-of-jura/isle-of-jura-one-and-all-whisky/,," There's an aromatic quality that you would expect from the range of wine casks. Floral, with a hint of orange, marzipan and vanilla toffee."," Immediately sweet and syrupy, still vinous but not overpowering as layers of oak develop with a touch of black pepper."," The sweetness lingers, balanced by notes of gingerbread and tobacco leaf.",Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,20 year old Whisky,,Single Malt Whisky,,51.0%,70cl
Benrinnes 11 Year Old 2006 (Malt of The Earth),https://www.masterofmalt.com/whiskies/benrinnes/benrinnes-11-year-old-2006-malt-of-the-earth-whisky/,," Warm custard, green apples and a touch of cut grass."," Sultana and apricot, followed by toffee pennies and honey-coated barley.", A touch of flint appears from behind the layers of vanilla.,Scotch Whisky,Speyside Whisky,Benrinnes,Malt of The Earth,11 year old Whisky,2006,Single Malt Whisky,2017,46.0%,70cl
Linkwood 18 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/linkwood/linkwood-18-year-old-that-boutiquey-whisky-company-whisky/,," Buttered toast, popcorn and fudge, then honeydew melon follows. Gristy barley, hot chocolate and cut grass emerge as the nose develops."," Warming oak and more dried grass, then floral honey, wood spice and yellow fruits. A little white pepper is present as well."," Full and warming, with some orchard fruit.",Scotch Whisky,Speyside Whisky,Linkwood,That Boutique-y Whisky Company,18 year old Whisky,,Single Malt Whisky,,47.8%,50cl
Glenburgie 14 Year Old 2004 - Connoisseurs Choice (Gordon & MacPhail),https://www.masterofmalt.com/whiskies/glenburgie/glenburgie-14-year-old-2004-connoisseurs-choice-gordon-and-macphail-whisky/,," White chocolate, mince pies, fragrant vanilla and a hint of roasted coffee beans."," Fruitcake, pecans, guava and just a touch of spicy nutmeg.", Drying cedar spices and some sherbet lemons.,Scotch Whisky,Speyside Whisky,Glenburgie,Gordon & MacPhail,14 year old Whisky,2004,Single Malt Whisky,2018,46.0%,70cl
Glencadam 19 Year Old,https://www.masterofmalt.com/whiskies/glencadam/glencadam-19-year-old-whisky/,," A balanced nose of brown sugar, cinnamon and clove. Flashes of chewy raisins and sloe berries hide underneath."," More Christmas spices, now paired with Christmas cake. A little bit of smoky oak.", Lingering creamy malt and chocolate-coated espresso beans.,Scotch Whisky,Highland Whisky,Glencadam,Glencadam,19 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Auchentoshan 6 Year Old 2013 (cask 13099) - Provenance (Douglas Laing),https://www.masterofmalt.com/whiskies/auchentoshan/auchentoshan-6-year-old-2013-cask-13099-provenance-douglas-laing-whisky/,," Powerful malty aromas, with buttery apple crumble and vanilla custard.", Baking spices and sweet honeyed orchard fruit.," Buttery lemon shortbread, vanilla pod and a touch of burnt sugar.",Scotch Whisky,Lowland Whisky,Auchentoshan,Douglas Laing,6 year old Whisky,January 2013,Single Malt Whisky,February 2019,46.0%,70cl
Glenfiddich 12 Year Old 35cl,https://www.masterofmalt.com/whiskies/glenfiddich-12-year-old-35cl-whisky/,," Grain. Slightly floral, mineralic. Spirity, orchard fruit, malty, honey. Citrus develops."," Light, floral, spices. Very smooth."," Sweet, touch of oak and general fruit, oily.",Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,12 year old Whisky,,Single Malt Whisky,,40.0%,35cl
Bruichladdich 11 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-that-boutiquey-whisky-company-whisky/,," Subtly floral at first with orange blossom and fresh barley, though soon enough becomes rich in honey. Wood spice and leather add depth."," Salted butter on crumpets, sticky toffee and stem ginger, then blueberry muffin, citrus peels and a touch of red chilli powder."," Drying malt, thyme, sea salt and vanilla ice cream with caramel sauce.",Scotch Whisky,Islay Whisky,Bruichladdich,That Boutique-y Whisky Company,11 year old Whisky,,Single Malt Whisky,,48.4%,50cl
Macallan 19 Year Old 1998 (bottled 2017) - Mackillop's Choice,https://www.masterofmalt.com/whiskies/the-macallan/macallan-19-year-old-1998-bottled-2017-mackillops-choice-whisky/,," Hazelnut, sugared almond and fresh orange. A big helping of malt at the core, with layers of mature oak surrounding it."," Waxy peels, Wine Gums and white peach. Caramelised pecan and shortbread.", Jam-packed with dried fruit and ginger.,Scotch Whisky,Speyside Whisky,The Macallan,Mackillop's,19 year old Whisky,26 Feb 1998,Single Malt Whisky,01 Sep 2017,53.8%,70cl
Highland Park 10 Year Old - Viking Scars,https://www.masterofmalt.com/whiskies/highland-park/highland-park-10-year-old-viking-scars-whisky/,," Subtle Sherry influence, but balanced by heather-y smoke.", Ginger and waxy orange peel. Earthy peat with a another hint of Sherry sweetness buried underneath., Sea salt and heather once again. A few herbaceous hints of coriander leaf and crushed black pepper.,Scotch Whisky,Island Whisky,Highland Park,Highland Park,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
The Glenlivet Nàdurra Peated Whisky Cask Finish Batch PW0717,https://www.masterofmalt.com/whiskies/the-glenlivet/the-glenlivet-nadurra-peated-whisky-cask-finish-batch-pw0717-whisky/,," Toasted coconut, pithy orange, pine nuts and a hint of red chilli."," Gummy fruit sweeties, extra-thick double cream, very light earthy peat."," Drying cacao, soft smoke, lemon peel.",Scotch Whisky,Speyside Whisky,The Glenlivet,The Glenlivet,,,Single Malt Whisky,,61.8%,70cl
The Big Strand,https://www.masterofmalt.com/whiskies/morrison-and-mackay/the-big-strand-whisky/,," Delightfully coastal, with hints of oily barley underneath."," The coastal theme continues on the palate, with a touch of bonfires too.", Vanilla and smoke. Some fresh fruit sweetness.,Scotch Whisky,Scotch Whisky,Morrison & MacKay,Morrison & MacKay,,,Single Malt Whisky,,46.0%,70cl
Glen Elgin 22 Year Old 1995 - Single Cask (Master of Malt),https://www.masterofmalt.com/whiskies/glen-elgin/glen-elgin-22-year-old-1995-single-cask-master-of-malt-whisky/,, Lots of cask influence here – creamy vanilla and oak spice. Salted caramel covers apricot skin and hints of apple blossom. There’s faint white chocolate there too.," Sweet white fruit, grapes mostly, and a little sherbet lemon lead among plenty more oak which brings a pleasant drying quality. Prickling white pepper spice adds heat among some honeyed cereal and golden barley."," Long, gentle and relaxed.",Scotch Whisky,Speyside Whisky,Glen Elgin,Master of Malt,22 year old Whisky,22 Dec 1995,Single Malt Whisky,15 May 2018,53.6%,70cl
